r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.371195077896118164e-01,5.371195077896118164e-01,4.997729659080505371e-01,5.171777009963989258e-01,4.577464580535888672e+00,4.800000190734863281e+00,0.000000000000000000e+00,4.440000000000000000e+02,6.000000000000000000e+00,4.440000000000000000e+02,6.000000000000000000e+00,7.762530446052551270e-01,6.911652684211730957e-01,8.579999804496765137e-01,0.000000000000000000e+00,5.117385387420654297e-01,2.899394750595092773e+00
5.371195077896118164e-01,5.240248441696166992e-01,4.986439645290374756e-01,5.133897066116333008e-01,4.577777862548828125e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.220000000000000000e+02,7.000000000000000000e+00,3.940000000000000000e+02,4.000000000000000000e+00,7.760291099548339844e-01,6.821293234825134277e-01,8.199999928474426270e-01,0.000000000000000000e+00,5.072867274284362793e-01,4.299220085144042969e+00
5.371195077896118164e-01,5.371195077896118164e-01,4.993205368518829346e-01,5.166274309158325195e-01,4.104166507720947266e+00,4.545454502105712891e+00,0.000000000000000000e+00,4.270000000000000000e+02,6.000000000000000000e+00,3.930000000000000000e+02,3.000000000000000000e+00,7.768353819847106934e-01,6.976544857025146484e-01,8.080000281333923340e-01,0.000000000000000000e+00,5.117916464805603027e-01,5.743912696838378906e+00
5.396844744682312012e-01,5.396844744682312012e-01,4.999850392341613770e-01,5.184619426727294922e-01,4.857142925262451172e+00,4.500000000000000000e+00,0.000000000000000000e+00,4.370000000000000000e+02,5.000000000000000000e+00,3.870000000000000000e+02,1.000000000000000000e+00,7.742582559585571289e-01,6.890845894813537598e-01,8.040000200271606445e-01,0.000000000000000000e+00,5.119584798812866211e-01,7.266839027404785156e+00
5.396844744682312012e-01,5.213255882263183594e-01,5.000491738319396973e-01,5.140960216522216797e-01,4.607142925262451172e+00,5.000000000000000000e+00,0.000000000000000000e+00,4.340000000000000000e+02,6.000000000000000000e+00,3.800000000000000000e+02,3.000000000000000000e+00,7.749487757682800293e-01,6.827209591865539551e-01,8.320000171661376953e-01,0.000000000000000000e+00,5.117916464805603027e-01,8.584915161132812500e+00
5.408786535263061523e-01,5.408786535263061523e-01,4.991094768047332764e-01,5.173570513725280762e-01,4.659340858459472656e+00,5.545454502105712891e+00,0.000000000000000000e+00,4.360000000000000000e+02,8.000000000000000000e+00,3.770000000000000000e+02,5.000000000000000000e+00,7.752777338027954102e-01,7.078192830085754395e-01,8.180000185966491699e-01,0.000000000000000000e+00,5.033614039421081543e-01,9.951057434082031250e+00
5.408786535263061523e-01,5.408786535263061523e-01,5.002839565277099609e-01,5.190840363502502441e-01,4.750000000000000000e+00,6.153846263885498047e+00,0.000000000000000000e+00,4.150000000000000000e+02,8.000000000000000000e+00,3.490000000000000000e+02,4.000000000000000000e+00,7.728161811828613281e-01,6.996259689331054688e-01,7.760000228881835938e-01,0.000000000000000000e+00,5.119584798812866211e-01,1.134291362762451172e+01
5.408786535263061523e-01,5.227618813514709473e-01,4.988065063953399658e-01,5.142076015472412109e-01,4.719298362731933594e+00,5.599999904632568359e+00,0.000000000000000000e+00,4.200000000000000000e+02,7.000000000000000000e+00,3.640000000000000000e+02,4.000000000000000000e+00,7.698854207992553711e-01,6.775860786437988281e-01,7.720000147819519043e-01,0.000000000000000000e+00,5.119584798812866211e-01,1.270853805541992188e+01
5.408786535263061523e-01,5.371195077896118164e-01,4.997765421867370605e-01,5.205094814300537109e-01,4.818897724151611328e+00,7.400000095367431641e+00,0.000000000000000000e+00,4.140000000000000000e+02,1.000000000000000000e+01,3.390000000000000000e+02,8.000000000000000000e+00,7.676273584365844727e-01,6.850037574768066406e-01,7.459999918937683105e-01,0.000000000000000000e+00,5.128259062767028809e-01,1.410349750518798828e+01
5.408786535263061523e-01,5.149953961372375488e-01,4.989682734012603760e-01,5.125285983085632324e-01,4.726415157318115234e+00,5.099999904632568359e+00,0.000000000000000000e+00,4.260000000000000000e+02,6.000000000000000000e+00,3.530000000000000000e+02,2.000000000000000000e+00,7.570481896400451660e-01,6.759210824966430664e-01,7.879999876022338867e-01,0.000000000000000000e+00,5.119320750236511230e-01,1.558673000335693359e+01
