,Epoch,Functions,Reward,coefficients
0,0,0.5371195079335233,"diff(mul(x1,u1),x1)",-0.3755
1,1,0.5240248370055188,"diff(n2(mul(u1,x1)),x1)",-0.3905
2,2,0.5371195079335233,"diff(mul(x1,u1),x1)",-0.3755
3,3,0.5396844504993401,"mul(x1,add(diff(u1,x1),u1))",-0.4028
4,4,0.5213256045988692,"mul(x1,diff3(u1,x1))",0.0009
5,5,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
6,6,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
7,7,0.5227618992382681,"mul(diff(n2(u1),x1),x1)",-0.1603
8,8,0.5371195079335233,"diff(mul(u1,x1),x1)",-0.3755
9,9,0.514995400982501,"n3(diff(u1,x1))",-0.0003
10,10,0.5408786286144152,"mul(add(diff(u1,x1),diff(u1,x1)),x1)",-0.2017
11,11,0.9727804001854877,"mul(u1,diff(u1,x1)) |diff3(u1,x1)",-1.0006|-0.0025
12,12,0.5420486669094535,"mul(add(mul(u1,x1),diff(u1,x1)),diff(n2(x1),x1))",-0.2022
13,13,0.5408786286144152,"mul(x1,diff(u1,x1))",-0.4033
14,14,0.5371195079335233,"diff(mul(u1,x1),x1)",-0.3755
15,15,0.5371195079335233,"diff(mul(x1,u1),x1)",-0.3755
16,16,0.5371195079335233,"diff(mul(u1,x1),x1)",-0.3755
17,17,0.5408786286144152,"mul(x1,diff(u1,x1))",-0.4033
18,18,0.5481686368056046,"diff2(u1,x1) |diff(mul(x1,u1),x1)",-0.0048|-0.4255
19,19,0.5429778675248561,"diff(mul(u1,x1),x1) |diff(u1,x1)",-0.5173|0.0852
20,20,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
21,21,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
22,22,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
23,23,0.5408786286144152,"mul(x1,diff(u1,x1))",-0.4033
24,24,0.542601369795862,"u1 |diff(mul(x1,u1),x1) |diff2(u1,x1)",-0.035|-0.424|-0.0049
25,25,0.5429778675248561,"diff(u1,x1) |diff(mul(u1,x1),x1)",0.0852|-0.5173
26,26,0.5408786286144152,"mul(x1,diff(u1,x1))",-0.4033
27,27,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
28,28,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
29,29,0.5408786286144152,"mul(x1,diff(u1,x1))",-0.4033
30,30,0.5456974606349101,"u1 |diff(mul(x1,u1),x1) |diff(u1,x1)",0.5441|-0.5847|0.1012
31,31,0.5512423287031272,"diff(u1,x1) |mul(diff(u1,x1),x1)",0.101|-0.5842
32,32,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
33,33,0.5408786286144152,"mul(x1,diff(u1,x1))",-0.4033
34,34,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
35,35,0.5429778675248561,"diff(mul(u1,x1),x1) |diff(u1,x1)",-0.5173|0.0852
36,36,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
37,37,0.5408786286144152,"mul(diff(u1,x1),diff(n2(x1),x1))",-0.2017
38,38,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
39,39,0.5408786286144152,"mul(diff2(n3(x1),x1),diff(u1,x1))",-0.0672
40,40,0.5371195079335233,"diff(mul(x1,u1),x1)",-0.3755
41,41,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
42,42,0.5408786286144152,"mul(x1,diff(u1,x1))",-0.4033
43,43,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
44,44,0.5408786286144152,"mul(x1,diff(u1,x1))",-0.4033
45,45,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
46,46,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
47,47,0.5429778675248561,"diff(u1,x1) |diff(mul(x1,u1),x1)",0.0852|-0.5173
48,48,0.54567026695256,"u1 |diff(u1,x1) |mul(diff(u1,x1),x1)",-0.0403|0.1011|-0.5846
49,49,0.5411872742398741,"mul(add(add(n3(mul(u1,n3(x1))),x1),x1),diff(u1,x1))",-0.2027
50,50,0.5408786286144152,"mul(x1,diff(u1,x1))",-0.4033
51,51,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
52,52,0.5408786286144152,"mul(x1,diff(u1,x1))",-0.4033
53,53,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
54,54,0.543243341107789,"diff3(u1,x1) |mul(diff(u1,x1),x1)",-0.0002|-0.493
55,55,0.5408786286144152,"mul(x1,diff(u1,x1))",-0.4033
56,56,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
57,57,0.5435956925455657,"diff2(u1,x1) |mul(diff(u1,x1),x1)",-0.0033|-0.4154
58,58,0.5408786286144152,"mul(x1,diff(u1,x1))",-0.4033
59,59,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
60,60,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
61,61,0.5408786286144152,"mul(diff(u1,x1),x1)",-0.4033
